Cut_x,Cut_y,loss,Height,Permitivity,Freq
3.8,1,-31.95276328,1.6,2.2,2.45
4,1,-37.25788136,1.6,2.2,2.45
4.2,1,-34.53913622,1.6,2.2,2.45
4.8,1,-37.41292712,1.6,2.2,2.45
5,1,-33.0192009,1.6,2.2,2.45
5.2,1,-35.11336875,1.6,2.2,2.45
5.4,1,-38.19089743,1.6,2.2,2.45
5.6,1,-34.27417493,1.6,2.2,2.45
5.8,1,-29.39506411,1.6,2.2,2.45
6,1,-31.44280049,1.6,2.2,2.45
6.2,1,-28.42861771,1.6,2.2,2.45
6.4,1,-28.96214339,1.6,2.2,2.45
6.6,1,-28.61748915,1.6,2.2,2.45
6.8,1,-26.72143745,1.6,2.2,2.45
7,1,-26.36296854,1.6,2.2,2.45
7.2,1,-26.13148306,1.6,2.2,2.45
7.4,1,-23.67596748,1.6,2.2,2.45
7.6,1,-23.09848864,1.6,2.2,2.45
7.8,1,-22.77450212,1.6,2.2,2.45
8,1,-21.81146141,1.6,2.2,2.45
8.2,1,-21.4787043,1.6,2.2,2.45
8.4,1,-21.25394913,1.6,2.2,2.45
8.6,1,-20.61447317,1.6,2.2,2.45
4,0.2,-20.32189083,1.6,2.2,4
4.2,0.2,-20.59335245,1.6,2.2,4
4.4,0.2,-20.59351232,1.6,2.2,4
4.6,0.2,-20.9336259,1.6,2.2,4
4.8,0.2,-21.32044795,1.6,2.2,4
5,0.2,-22.33372328,1.6,2.2,4
5.2,0.2,-22.27473516,1.6,2.2,4
5.4,0.2,-22.92470098,1.6,2.2,4
5.6,0.2,-23.43314059,1.6,2.2,4
5.8,0.2,-23.53278326,1.6,2.2,4
6,0.2,-25.12616632,1.6,2.2,4
6.2,0.2,-27.86560454,1.6,2.2,4
6.4,0.2,-26.81624692,1.6,2.2,4
6.6,0.2,-31.43973479,1.6,2.2,4
6.8,0.2,-34.68906658,1.6,2.2,4
7.4,0.2,-36.3721829,1.6,2.2,4
7.6,0.2,-36.27795832,1.6,2.2,4
7.8,0.2,-28.57982408,1.6,2.2,4
8,0.2,-25.11099869,1.6,2.2,4
8.2,0.2,-24.01554807,1.6,2.2,4
8.4,0.2,-22.15225322,1.6,2.2,4
3.4,0.3,-20.16625556,1.6,2.2,4
3.6,0.3,-20.71493443,1.6,2.2,4
3.8,0.3,-20.4014929,1.6,2.2,4
4,0.3,-20.55494951,1.6,2.2,4
4.2,0.3,-21.51111344,1.6,2.2,4
4.4,0.3,-22.5487337,1.6,2.2,4
4.6,0.3,-22.38215496,1.6,2.2,4
4.8,0.3,-22.4621387,1.6,2.2,4
5,0.3,-24.31290492,1.6,2.2,4
5.2,0.3,-25.37464032,1.6,2.2,4
5.4,0.3,-26.27354763,1.6,2.2,4
5.6,0.3,-28.09267863,1.6,2.2,4
5.8,0.3,-27.4826863,1.6,2.2,4
6,0.3,-30.25978722,1.6,2.2,4
6.2,0.3,-33.82537671,1.6,2.2,4
6.4,0.3,-33.92194062,1.6,2.2,4
7,0.3,-33.87078572,1.6,2.2,4
7.2,0.3,-28.94970552,1.6,2.2,4
7.4,0.3,-28.21332222,1.6,2.2,4
7.6,0.3,-25.17981521,1.6,2.2,4
7.8,0.3,-24.16743736,1.6,2.2,4
8,0.3,-21.17877584,1.6,2.2,4
3.4,0.4,-20.4670809,1.6,2.2,4
3.6,0.4,-21.27558268,1.6,2.2,4
3.8,0.4,-21.77861164,1.6,2.2,4
4,0.4,-21.64186184,1.6,2.2,4
4.2,0.4,-22.07095992,1.6,2.2,4
4.4,0.4,-23.11790299,1.6,2.2,4
4.6,0.4,-23.55968898,1.6,2.2,4
4.8,0.4,-24.26523521,1.6,2.2,4
5,0.4,-25.90225345,1.6,2.2,4
5.2,0.4,-27.09064495,1.6,2.2,4
5.4,0.4,-27.06008958,1.6,2.2,4
5.6,0.4,-29.85004626,1.6,2.2,4
5.8,0.4,-31.87552414,1.6,2.2,4
6.6,0.4,-32.3430533,1.6,2.2,4
6.8,0.4,-32.4012819,1.6,2.2,4
7,0.4,-27.96868268,1.6,2.2,4
7.2,0.4,-24.73772757,1.6,2.2,4
7.4,0.4,-23.32171682,1.6,2.2,4
7.6,0.4,-22.18904061,1.6,2.2,4
2.6,0.5,-20.00090206,1.6,2.2,4
3,0.5,-20.11118167,1.6,2.2,4
3.2,0.5,-20.12570807,1.6,2.2,4
3.4,0.5,-21.76451953,1.6,2.2,4
3.6,0.5,-22.05335316,1.6,2.2,4
3.8,0.5,-22.13365165,1.6,2.2,4
4,0.5,-23.28228586,1.6,2.2,4
4.2,0.5,-24.08420622,1.6,2.2,4
4.4,0.5,-24.04150746,1.6,2.2,4
4.6,0.5,-24.64624618,1.6,2.2,4
4.8,0.5,-26.77711359,1.6,2.2,4
5,0.5,-26.10183697,1.6,2.2,4
5.2,0.5,-30.67811614,1.6,2.2,4
5.4,0.5,-32.78318007,1.6,2.2,4
5.6,0.5,-33.08731402,1.6,2.2,4
6,0.5,-39.92305809,1.6,2.2,4
6.2,0.5,-35.75402873,1.6,2.2,4
6.4,0.5,-31.86236813,1.6,2.2,4
6.6,0.5,-29.14575127,1.6,2.2,4
6.8,0.5,-25.87819944,1.6,2.2,4
7,0.5,-23.24355925,1.6,2.2,4
7.2,0.5,-21.85262346,1.6,2.2,4
7.4,0.5,-20.69642526,1.6,2.2,4
2.8,0.6,-20.19297091,1.6,2.2,4
3,0.6,-21.03484248,1.6,2.2,4
3.2,0.6,-20.73950777,1.6,2.2,4
3.4,0.6,-21.53882427,1.6,2.2,4
3.6,0.6,-21.85939638,1.6,2.2,4
3.8,0.6,-22.03249555,1.6,2.2,4
4,0.6,-24.00939099,1.6,2.2,4
4.2,0.6,-25.32227053,1.6,2.2,4
4.4,0.6,-25.42353669,1.6,2.2,4
4.6,0.6,-25.93670699,1.6,2.2,4
4.8,0.6,-27.5532214,1.6,2.2,4
5,0.6,-30.77061033,1.6,2.2,4
5.2,0.6,-34.28389411,1.6,2.2,4
5.4,0.6,-38.92756135,1.6,2.2,4
5.8,0.6,-36.55100125,1.6,2.2,4
6,0.6,-35.37345073,1.6,2.2,4
6.2,0.6,-30.12151811,1.6,2.2,4
6.4,0.6,-27.14220666,1.6,2.2,4
6.6,0.6,-26.83951208,1.6,2.2,4
6.8,0.6,-23.37369619,1.6,2.2,4
7,0.6,-21.77739228,1.6,2.2,4
2.4,0.7,-20.29671672,1.6,2.2,4
2.6,0.7,-20.23792322,1.6,2.2,4
2.8,0.7,-20.5363917,1.6,2.2,4
3,0.7,-21.48950802,1.6,2.2,4
3.2,0.7,-21.09064388,1.6,2.2,4
3.4,0.7,-22.16726121,1.6,2.2,4
3.6,0.7,-23.44568923,1.6,2.2,4
3.8,0.7,-23.08597463,1.6,2.2,4
4,0.7,-24.19486858,1.6,2.2,4
4.2,0.7,-25.36312553,1.6,2.2,4
4.4,0.7,-27.82982263,1.6,2.2,4
4.6,0.7,-29.83668314,1.6,2.2,4
4.8,0.7,-32.66354182,1.6,2.2,4
5,0.7,-32.75232435,1.6,2.2,4
5.6,0.7,-36.16632901,1.6,2.2,4
5.8,0.7,-32.16589289,1.6,2.2,4
6,0.7,-31.3532116,1.6,2.2,4
6.2,0.7,-26.73092765,1.6,2.2,4
6.4,0.7,-24.41403457,1.6,2.2,4
6.6,0.7,-22.62775836,1.6,2.2,4
6.8,0.7,-21.28546699,1.6,2.2,4
2.6,0.8,-20.0727672,1.6,2.2,4
2.8,0.8,-20.72921444,1.6,2.2,4
3,0.8,-21.7027729,1.6,2.2,4
3.2,0.8,-22.73072325,1.6,2.2,4
3.4,0.8,-22.82349828,1.6,2.2,4
3.6,0.8,-23.66940792,1.6,2.2,4
3.8,0.8,-24.52045123,1.6,2.2,4
4,0.8,-24.77213457,1.6,2.2,4
4.2,0.8,-26.89368696,1.6,2.2,4
4.4,0.8,-28.95395311,1.6,2.2,4
4.6,0.8,-32.24091035,1.6,2.2,4
4.8,0.8,-37.08659443,1.6,2.2,4
5,0.8,-34.92316453,1.6,2.2,4
5.2,0.8,-39.04366145,1.6,2.2,4
5.4,0.8,-36.04309627,1.6,2.2,4
5.6,0.8,-33.11940593,1.6,2.2,4
5.8,0.8,-29.19500335,1.6,2.2,4
6,0.8,-27.20263303,1.6,2.2,4
6.2,0.8,-24.46952237,1.6,2.2,4
6.4,0.8,-22.326562,1.6,2.2,4
6.6,0.8,-20.84523485,1.6,2.2,4
2.4,0.9,-20.7400902,1.6,2.2,4
2.6,0.9,-21.49331152,1.6,2.2,4
2.8,0.9,-21.37784994,1.6,2.2,4
3,0.9,-22.38430797,1.6,2.2,4
3.2,0.9,-22.45367277,1.6,2.2,4
3.4,0.9,-24.15436958,1.6,2.2,4
3.6,0.9,-24.79312586,1.6,2.2,4
3.8,0.9,-25.78130833,1.6,2.2,4
4,0.9,-27.26394285,1.6,2.2,4
4.2,0.9,-27.86170408,1.6,2.2,4
4.4,0.9,-30.33190168,1.6,2.2,4
4.6,0.9,-34.7733095,1.6,2.2,4
4.8,0.9,-36.34343166,1.6,2.2,4
5.2,0.9,-39.04264991,1.6,2.2,4
5.4,0.9,-32.48837015,1.6,2.2,4
5.6,0.9,-30.26789404,1.6,2.2,4
5.8,0.9,-26.83384567,1.6,2.2,4
6,0.9,-24.37584013,1.6,2.2,4
6.2,0.9,-22.66973371,1.6,2.2,4
6.4,0.9,-21.05012423,1.6,2.2,4
2.4,1,-20.57229329,1.6,2.2,4
2.6,1,-20.89439262,1.6,2.2,4
2.8,1,-21.95445584,1.6,2.2,4
3,1,-22.38193893,1.6,2.2,4
3.2,1,-23.73053572,1.6,2.2,4
3.4,1,-24.53217317,1.6,2.2,4
3.6,1,-25.56260942,1.6,2.2,4
3.8,1,-26.3161562,1.6,2.2,4
4,1,-29.34985591,1.6,2.2,4
4.2,1,-30.69551825,1.6,2.2,4
4.4,1,-36.48521314,1.6,2.2,4
4.6,1,-38.03581499,1.6,2.2,4
5,1,-38.51303624,1.6,2.2,4
5.2,1,-35.172266,1.6,2.2,4
5.4,1,-29.62619218,1.6,2.2,4
5.6,1,-26.87310513,1.6,2.2,4
5.8,1,-25.06887087,1.6,2.2,4
6,1,-22.89042706,1.6,2.2,4
6.2,1,-21.06973801,1.6,2.2,4
3.8,0.2,-21.26211529,1.6,2.2,5.8
4,0.2,-21.14465878,1.6,2.2,5.8
4.2,0.2,-22.45030332,1.6,2.2,5.8
4.4,0.2,-25.0117949,1.6,2.2,5.8
4.6,0.2,-26.7438627,1.6,2.2,5.8
4.8,0.2,-28.25408963,1.6,2.2,5.8
5,0.2,-31.33858214,1.6,2.2,5.8
5.6,0.2,-26.94632182,1.6,2.2,5.8
5.8,0.2,-23.24330404,1.6,2.2,5.8
3.4,0.3,-20.54664823,1.6,2.2,5.8
3.6,0.3,-21.69470581,1.6,2.2,5.8
3.8,0.3,-23.45026141,1.6,2.2,5.8
4,0.3,-24.16722185,1.6,2.2,5.8
4.2,0.3,-25.43549336,1.6,2.2,5.8
4.4,0.3,-29.44084777,1.6,2.2,5.8
4.6,0.3,-35.42356037,1.6,2.2,5.8
5.2,0.3,-28.4256173,1.6,2.2,5.8
5.4,0.3,-23.5556086,1.6,2.2,5.8
5.6,0.3,-20.62510052,1.6,2.2,5.8
3,0.4,-20.49207249,1.6,2.2,5.8
3.2,0.4,-20.86575046,1.6,2.2,5.8
3.4,0.4,-22.6128414,1.6,2.2,5.8
3.6,0.4,-23.70450525,1.6,2.2,5.8
3.8,0.4,-25.45932517,1.6,2.2,5.8
4,0.4,-27.51086623,1.6,2.2,5.8
4.2,0.4,-29.09597615,1.6,2.2,5.8
4.4,0.4,-37.41162997,1.6,2.2,5.8
4.8,0.4,-32.84617114,1.6,2.2,5.8
5,0.4,-26.8253569,1.6,2.2,5.8
5.2,0.4,-23.20913522,1.6,2.2,5.8
5.4,0.4,-20.00081916,1.6,2.2,5.8
2.8,0.5,-20.21832132,1.6,2.2,5.8
3,0.5,-21.61172328,1.6,2.2,5.8
3.2,0.5,-22.45567949,1.6,2.2,5.8
3.4,0.5,-23.96261439,1.6,2.2,5.8
3.6,0.5,-24.8135116,1.6,2.2,5.8
3.8,0.5,-27.11415574,1.6,2.2,5.8
4,0.5,-32.86780783,1.6,2.2,5.8
4.4,0.5,-36.97088611,1.6,2.2,5.8
4.6,0.5,-31.16784997,1.6,2.2,5.8
4.8,0.5,-27.04410699,1.6,2.2,5.8
5,0.5,-22.3549846,1.6,2.2,5.8
2.6,0.6,-20.6292409,1.6,2.2,5.8
2.8,0.6,-21.03218722,1.6,2.2,5.8
3,0.6,-21.98089132,1.6,2.2,5.8
3.2,0.6,-24.22896175,1.6,2.2,5.8
3.4,0.6,-25.70383482,1.6,2.2,5.8
3.6,0.6,-28.49536897,1.6,2.2,5.8
3.8,0.6,-31.55968776,1.6,2.2,5.8
4.2,0.6,-39.57360205,1.6,2.2,5.8
4.4,0.6,-31.31021056,1.6,2.2,5.8
4.6,0.6,-25.98576381,1.6,2.2,5.8
4.8,0.6,-22.63049103,1.6,2.2,5.8
5,0.6,-20.30933783,1.6,2.2,5.8
2.6,0.7,-20.68919937,1.6,2.2,5.8
2.8,0.7,-21.61374453,1.6,2.2,5.8
3,0.7,-23.02227032,1.6,2.2,5.8
3.2,0.7,-25.19712601,1.6,2.2,5.8
3.4,0.7,-28.57878725,1.6,2.2,5.8
3.6,0.7,-31.02887253,1.6,2.2,5.8
3.8,0.7,-36.68418,1.6,2.2,5.8
4.2,0.7,-31.73334318,1.6,2.2,5.8
4.4,0.7,-25.87212766,1.6,2.2,5.8
4.6,0.7,-23.23037311,1.6,2.2,5.8
4.8,0.7,-20.58145429,1.6,2.2,5.8
2.4,0.8,-20.14720487,1.6,2.2,5.8
2.6,0.8,-21.56707535,1.6,2.2,5.8
2.8,0.8,-22.82514991,1.6,2.2,5.8
3,0.8,-23.71534329,1.6,2.2,5.8
3.2,0.8,-27.12445841,1.6,2.2,5.8
3.4,0.8,-30.00184971,1.6,2.2,5.8
3.6,0.8,-35.53227193,1.6,2.2,5.8
3.8,0.8,-38.95873286,1.6,2.2,5.8
4,0.8,-32.56961726,1.6,2.2,5.8
4.2,0.8,-27.22754841,1.6,2.2,5.8
4.4,0.8,-23.79687683,1.6,2.2,5.8
4.6,0.8,-21.48651448,1.6,2.2,5.8
